organization,key,name,tags,visibility,isNew,repo_url,eligibilityStatus,eligible
apache,apache_sling-org-apache-sling-feature-cpconverter,Apache Sling Content Package to Feature Model converter,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-feature-cpconverter,,
apache,apache_sling-org-apache-sling-caconfig-impl,Apache Sling Context-Aware Configuration Implementation,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-caconfig-impl,,
apache,apache_sling-org-apache-sling-servlets-post,Apache Sling Default POST Servlets,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-servlets-post,,
onap,onap_vfc-nfvo-driver-vnfm-gvnfm-juju,vfc-nfvo-driver-vnfm-gvnfm-juju-vnfmadapter,[],public,False,,,
onap,onap_dmaap-messagerouter-dmaapclient,dmaap-messagerouter-dmaapclient,[],public,False,,,
onap,onap_ccsdk-platform-plugins,ccsdk-platform-plugins,[],public,False,,,
apache,apache_sling-org-apache-sling-validation-core,Apache Sling Validation Framework Core Implementation,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-validation-core,,
onap,onap_policy-apex-pdp,policy-apex-pdp,[],public,False,,,
onap,onap_logging-analytics-pomba-pomba-sdnc-context-builder,pomba-sdnc-context-builder,[],public,False,,,
onap,onap_sdc-sdc-distribution-client,sdc-sdc-distribution-client,[],public,False,,,
onap,onap_multicloud-openstack-vmware,multicloud-openstack-vmware-root,[],public,False,,,
apache,apache_sling-org-apache-sling-feature-extension-apiregions,Sling Featuremodel - API Regions Exension,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-feature-extension-apiregions,,
onap,onap_dmaap-messagerouter-msgrtr,dmaap-messagerouter-msgrtr,[],public,False,,,
onap,onap_sdc-sdc-workflow-designer,sdc-sdc-workflow-designer,[],public,False,,,
onap,onap_vnfsdk-validation,vnfsdk-validation,[],public,False,,,
onap,onap_vnfsdk-refrepo,vnfsdk-refrepo,[],public,False,,,
onap,onap_sdc-dcae-d-dt-be-main,sdc-dcae-d dt-be-main,[],public,False,,,
onap,onap_sdnc-northbound,sdnc-northbound,[],public,False,,,
onap,onap_sdc-dcae-d-ci,sdc-dcae-d ci tests,[],public,False,,,
onap,onap_sdc-dcae-d-dt-be-property,sdc-dcae-d-dt-be-property,[],public,False,,,
onap,onap_sdc-dcae-d-tosca-lab,sdc-dcae-d-tosca-lab,[],public,False,,,
onap,onap_sdc-sdc-tosca,sdc-tosca-jtosca,[],public,False,,,
onap,onap_vfc-nfvo-driver-svnfm-huawei,vfc-nfvo-driver-vnfm-svnfm-huawei,[],public,False,,,
